Date,Open,High,Low,Close,Volume
2024-02-12,504.479,505.227,499.211,503.914,3281015
2024-02-13,508.16,512.958,500.576,503.145,3529678
2024-02-14,501.597,504.781,500.654,503.233,1970791
2024-02-15,503.622,507.918,502.124,507.068,2354744
2024-02-16,508.451,509.9,505.131,507.72,2193755
2024-02-20,510.31,511.439,505.638,507.244,2671114
2024-02-21,509.785,509.804,503.813,508.13,2153114
2024-02-22,510.3,512.774,504.839,512.541,3273621
2024-02-23,512.784,516.429,510.262,513.26,2570299
2024-02-26,514.31,518.683,510.407,511.391,2371817
2024-02-27,510.845,511.653,498.471,499.807,3883595
2024-02-28,482.303,485.33,471.546,485.067,9818910
2024-02-29,485.281,488.447,478.565,480.512,7019289
2024-03-01,476.443,477.028,464.595,476.549,7514286
2024-03-04,470.426,474.126,467.369,469.092,5382532
2024-03-05,469.598,470.096,458.137,460.604,5440458
2024-03-06,461.859,467.077,455.776,460.068,5729413
2024-03-07,461.432,468.432,461.042,466.084,5241012
2024-03-08,467.482,473.267,464.003,465.762,4782014
2024-03-11,466.184,479.191,465.205,478.057,4512422
2024-03-12,477.06,481.116,476.292,478.253,4250185
2024-03-13,482.328,484.753,474.324,476.933,3754174
2024-03-14,477.635,478.575,474.187,477.909,3456935
2024-03-15,476.396,480.081,476.396,479.689,5846115
2024-03-18,480.94,480.94,475.345,476.004,3039572
2024-03-19,478.565,482.25,476.728,482.132,2570026
2024-03-20,481.301,483.385,478.339,483.021,3630492
2024-03-21,481.116,484.947,480.138,480.54,3779111
2024-03-22,483.97,484.584,478.663,478.957,2913338
2024-03-25,479.474,480.335,473.093,474.86,2850791
2024-03-26,477.06,482.152,474.226,481.145,3185556
2024-03-27,482.503,484.489,480.167,481.918,2714750
2024-03-28,483.774,484.624,478.203,483.48,3908649
2024-04-01,483.255,484.537,477.616,478.594,2996665
2024-04-02,449.177,453.165,439.404,447.751,12142386
2024-04-03,451.522,452.353,445.219,449.313,4563900
2024-04-04,450.37,451.25,441.672,445.053,5302292
2024-04-05,440.463,447.369,439.805,445.404,5880739
2024-04-08,445.63,446.832,443.303,445.659,4637422
2024-04-09,443.978,449.333,442.2,449.294,3603450
2024-04-10,445.16,448.336,439.58,439.844,4597751
2024-04-11,440.174,440.548,431.468,431.702,5979734
2024-04-12,430.35,432.211,426.484,429.241,6185957
2024-04-15,431.976,438.181,431.967,435.524,5501536
2024-04-16,465.957,468.87,455.041,458.256,12090713
2024-04-17,467.747,476.933,463.827,468.128,8963045
2024-04-18,475.105,490.615,474.949,481.995,9086514
2024-04-19,485.729,495.795,484.321,489.639,6769166
2024-04-22,486.491,488.094,479.513,480.091,4806684
2024-04-23,479.866,483.101,473.971,475.154,3731280
2024-04-24,472.809,477.774,469.809,476.248,3810840
2024-04-25,477.871,485.856,476.475,482.661,4430118
2024-04-26,480.843,485.953,480.256,484.115,2790295
2024-04-29,484.469,486.07,476.708,477.939,2243721
2024-04-30,477.871,478.603,471.645,472.73,3445662
2024-05-01,468.391,478.095,466.246,473.132,2792564
2024-05-02,473.297,482.493,472.965,481.79,3644044
2024-05-03,479.728,481.609,474.764,481.282,2545538
2024-05-06,481.311,483.648,480.843,483.169,2076596
2024-05-07,484.753,490.274,483.814,489.599,3839196
2024-05-08,492.736,495.502,488.734,491.797,3150477
2024-05-09,490.752,496.45,490.752,495.531,2397434
2024-05-10,497.457,501.928,495.502,501.181,2849199
2024-05-13,500.437,502.998,495.805,500.134,2511648
2024-05-14,502.909,504.465,495.795,502.226,3018242
2024-05-15,503.154,510.738,503.154,505.813,3050531
2024-05-16,508.207,516.183,507.728,509.449,3740604
2024-05-17,511.08,513.925,508.217,512.732,2719059
2024-05-20,512.732,512.732,504.826,505.5,2533856
2024-05-21,506.565,512.821,504.221,511.677,2580507
2024-05-22,510.963,514.345,508.843,509.527,2352626
2024-05-23,506.565,508.428,503.545,505.11,3126457
2024-05-24,504.405,505.411,496.01,496.644,2586893
2024-05-28,495.16,495.16,490.518,492.257,2980586
2024-05-29,481.174,482.699,462.538,473.727,7696121
2024-05-30,471.382,475.008,467.16,470.726,5290485
2024-05-31,471.47,487.106,471.47,484.135,6850338
2024-06-03,482.924,487.369,481.888,486.16,2860127
2024-06-04,487.254,496.744,483.375,494.027,3252189
2024-06-05,497.163,497.555,487.488,491.711,2521542
2024-06-06,492.228,493.25,486.002,490.538,2475753
2024-06-07,490.655,491.457,479.298,479.562,3495623
2024-06-10,479.866,484.155,475.164,483.774,3410229
2024-06-11,479.728,486.491,479.166,484.967,4706459
2024-06-12,488.661,488.661,476.361,481.888,4142150
2024-06-13,479.162,490.615,473.395,486.022,5066595
2024-06-14,485.562,486.56,480.579,485.846,3262358
2024-06-17,482.224,483.982,479.638,480.162,2452614
2024-06-18,481.616,482.544,470.161,472.134,3762433
2024-06-20,471.143,476.914,469.25,475.54,5357518
2024-06-21,475.463,479.251,471.684,473.647,6903919
2024-06-24,479.801,481.792,475.52,480.899,5236812
2024-06-25,481.547,481.547,471.694,475.52,3270497
2024-06-26,475.52,478.407,472.547,475.07,3212633
2024-06-27,476.061,479.912,473.117,477.425,3048566
2024-06-28,487.171,499.96,480.336,499.823,23163467
2024-07-01,497.353,499.478,483.756,485.483,4608547
2024-07-02,485.1,489.232,484.247,489.006,3374711
2024-07-03,487.906,488.85,477.504,480.812,2281490
2024-07-05,479.937,480.596,475.52,478.967,3565064
2024-07-08,480.124,484.728,477.16,480.272,3516000
2024-07-09,479.281,486.219,477.081,482.989,3115011
2024-07-10,481.842,492.207,481.037,491.647,3250067
2024-07-11,488.476,499.302,488.476,495.013,3602996
2024-07-12,497.526,505.034,494.099,502.05,3638044
2024-07-15,514.524,520.993,504.279,505.819,5224806
2024-07-16,524.005,539.729,517.36,538.698,11270868
2024-07-17,543.733,562.98,541.083,562.655,10525847
2024-07-18,554.038,570.724,551.014,553.881,6963876
2024-07-19,556.61,559.338,551.134,554.853,4371452
2024-07-22,552.615,553.793,546.757,548.179,3441078
2024-07-23,548.436,548.477,542.565,544.42,2838167
2024-07-24,549.621,550.731,542.771,549.376,3215827
2024-07-25,551.584,559.328,548.227,549.308,3161536
2024-07-26,549.621,568.398,549.621,559.162,3262483
2024-07-29,555.226,560.761,551.349,556.246,3021157
2024-07-30,556.394,568.692,555.501,565.65,4217207
2024-07-31,554.96,570.138,551.899,565.482,4802225
2024-08-01,566.503,576.612,556.59,562.154,3750278
2024-08-02,571.538,580.578,564.589,578.899,5190227
2024-08-05,571.332,575.945,556.259,559.397,4673970
2024-08-06,557.68,566.816,552.105,557.817,3277259
2024-08-07,556.109,561.056,546.702,555.59,4402439
2024-08-08,553.911,561.842,553.911,555.746,2914866
2024-08-09,554.078,555.441,547.296,548.406,3033043
2024-08-12,551.899,558.455,550.653,554.814,2580205
2024-08-13,559.427,565.061,558.455,563.598,2414296
2024-08-14,564.579,570.346,562.643,568.927,2388653
2024-08-15,568.927,572.53,562.881,568.869,2803888
2024-08-16,570.154,570.871,563.46,566.975,2780466
2024-08-19,567.366,572.49,566.375,568.053,1882833
2024-08-20,569.104,572.99,564.834,569.888,1709147
2024-08-21,570.733,572.579,566.73,567.356,2898257
2024-08-22,568.515,572.146,560.045,567.995,2325207
2024-08-23,570.233,574.36,567.73,573.679,2421287
2024-08-26,577.152,581.118,574.885,576.249,1834101
2024-08-27,578.546,581.363,572.961,576.466,1611822
2024-08-28,578.094,581.854,573.05,577.632,1688329
2024-08-29,579.734,581.628,573.54,580.607,1990255
2024-08-30,579.066,582.261,575.719,579.263,3000307
2024-09-03,581.539,589.528,580.853,587.586,3235438
2024-09-04,588.881,596.673,586.799,592.984,2990459
2024-09-05,592.993,594.77,578.742,584.454,2185406
2024-09-06,584.827,589.479,581.284,585.818,2981624
2024-09-09,587.232,588.371,564.609,583.09,3475807
2024-09-10,584.18,593.59,580.194,587.928,2917562
2024-09-11,578.221,580.44,568.24,578.821,3631074
2024-09-12,577.623,579.567,572.402,577.515,3459955
2024-09-13,580.126,586.603,576.347,583.305,2284336
2024-09-16,586.045,589.777,578.912,580.272,2587595
2024-09-17,577.19,577.884,567.715,569.261,3468177
2024-09-18,568.178,575.722,563.695,571.909,3033969
2024-09-19,574.934,576.027,565.932,568.384,2990694
2024-09-20,563.09,570.127,561.075,566.345,5481252
2024-09-23,567.812,570.714,563.39,564.779,2422606
2024-09-24,562.228,568.62,557.481,566.532,3237237
2024-09-25,569.172,572.364,564.454,567.635,2699526
2024-09-26,566.345,567.921,562.317,566.158,2794015
2024-09-27,568.985,577.879,567.912,573.092,3031872
2024-09-30,575.21,577.593,570.029,575.879,3055760
2024-10-01,576.195,579.839,572.023,574.52,2689103
2024-10-02,595.164,595.42,575.456,583.395,3723153
2024-10-03,581.719,584.3,575.569,583.828,2686311
2024-10-04,583.218,587.157,579.583,582.301,2500842
2024-10-07,579.927,583.523,574.549,574.776,2630679
2024-10-08,579.208,580.341,570.837,572.827,2265546
2024-10-09,573.398,583.877,571.874,582.321,2241598
2024-10-10,586.222,589.935,583.837,588.703,2176037
2024-10-11,587.511,592.468,587.226,589.048,1938916
2024-10-14,590.092,599.469,588.389,596.288,2484482
2024-10-15,543.711,561.125,534.826,547.917,12121813
2024-10-16,548.626,567.506,546.765,562.74,5181926
2024-10-17,552.142,560.898,550.309,557.509,5674083
2024-10-18,558.318,562.357,554.56,561.036,3743390
2024-10-21,561.066,570.556,560.14,562.868,3064134
2024-10-22,559.303,564.415,556.978,561.283,2633690
2024-10-23,563.519,565.498,551.571,556.141,2956587
2024-10-24,556.486,563.095,551.876,552.369,2629779
2024-10-25,557.638,562.897,555.127,556.063,2552142
2024-10-28,557.727,559.776,554.339,556.732,1854471
2024-10-29,554.349,559.135,552.216,553.669,2640188
2024-10-30,552.803,561.726,552.507,554.486,2359066
2024-10-31,552.437,559.893,552.437,556.003,2528065
2024-11-01,556.614,561.74,555.411,559.017,2587311
2024-11-04,558.494,560.032,547.055,549.374,2697377
2024-11-05,549.877,560.179,546.056,558.494,2647990
2024-11-06,594.806,596.385,581.957,587.708,6692028
2024-11-07,589.679,598.495,587.177,596.337,5334569
2024-11-08,599.833,610.471,596.09,606.54,3935068
2024-11-11,607.61,621.236,604.681,615.838,3049136
2024-11-12,608.49,615.081,604.537,605.417,2852538
2024-11-13,603.28,603.778,593.982,596.751,3461901
2024-11-14,594.244,596.879,580.125,584.222,3126255
2024-11-15,583.06,589.915,581.07,583.315,3476243
2024-11-18,580.563,585.197,576.51,580.774,2616507
2024-11-19,573.24,578.002,568.088,568.315,3247222
2024-11-20,574.225,593.572,572.797,591.461,3988804
2024-11-21,590.801,594.909,587.748,588.496,2764540
2024-11-22,590.969,592.21,579.814,581.976,3246997
2024-11-25,588.586,600.661,586.055,596.711,5225133
2024-11-26,598.513,599.312,589.866,597.657,2734775
2024-11-27,600.818,608.156,597.568,599.222,2304478
2024-11-29,597.874,606.511,597.489,601.016,2041540
2024-12-02,604.551,604.758,591.727,599.36,3416524
2024-12-03,602.739,606.482,595.716,596.12,2365482
2024-12-04,601.823,613.455,597.834,601.596,4210958
2024-12-05,596.524,599.823,565.246,570.256,6034514
2024-12-06,573.343,573.343,535.949,541.347,13202365
2024-12-09,545.777,556.633,538.5,554.299,7772275
2024-12-10,555.663,561.349,550.75,558.818,5421715
2024-12-11,549.39,551.808,526.664,527.515,10481158
2024-12-12,525.132,527.98,508.393,509.945,9511023
2024-12-13,509.837,521.582,504.962,514.612,8296440
2024-12-16,514.019,515.818,490.487,492.88,8981242
2024-12-17,481.51,490.012,470.455,480.046,14293812
2024-12-18,480.521,500.824,480.521,494.086,10263311
2024-12-19,494.502,497.972,480.758,483.734,7502659
2024-12-20,483.22,496.973,483.22,494.492,11081825
2024-12-23,494.492,503.044,493.423,500.631,4334849
2024-12-24,498.714,500.394,494.946,500.394,1845195
2024-12-26,499.801,506.445,499.039,505.387,3426618
2024-12-27,503.676,507.394,502.075,504.24,3511386
2024-12-30,501.145,503.983,495.015,502.075,5470724
2024-12-31,503.261,505.238,497.665,500.156,4262421
2025-01-02,502.52,506.337,497.616,498.822,4285712
2025-01-03,499.682,510.469,499.682,507.216,3054869
2025-01-06,507.216,514.434,504.075,507.879,4495518
2025-01-07,513.0,513.643,505.457,508.453,3959181
2025-01-08,508.695,518.754,503.768,518.607,4188954
2025-01-10,520.703,529.413,512.625,514.819,5529876
2025-01-13,529.013,541.229,527.129,535.039,6546269
2025-01-14,533.561,538.411,530.501,537.61,4023621
2025-01-15,531.039,540.131,528.306,537.293,4150660
2025-01-16,524.371,533.754,504.25,504.833,9163195
2025-01-17,499.919,515.936,497.131,504.013,7581191
2025-01-21,507.903,519.081,507.039,519.071,5746873
2025-01-22,516.345,518.527,510.182,513.86,3798969
2025-01-23,521.919,525.488,513.465,523.798,4633035
2025-01-24,523.234,528.603,518.597,526.506,3713024
2025-01-27,533.892,545.682,533.892,537.392,4311568
2025-01-28,536.888,540.338,531.772,536.363,3198722
2025-01-29,535.89,537.347,527.99,532.033,2768854
2025-01-30,533.329,540.942,528.968,539.419,2958090
2025-01-31,537.545,542.969,535.306,536.373,4167647
2025-02-03,536.32,547.665,534.969,541.999,4130135
2025-02-04,539.053,542.62,535.405,539.301,2902660
2025-02-05,524.746,534.604,516.026,533.724,4674256
2025-02-06,531.826,533.022,519.348,524.064,3971605
2025-02-07,523.036,526.389,519.466,521.088,3387489
2025-02-10,521.755,528.138,517.48,527.356,3178982
2025-02-11,528.968,541.367,522.309,527.901,2662119
2025-02-12,533.764,536.235,519.586,521.454,3903247
2025-02-13,524.915,528.306,521.157,525.192,2867378
2025-02-14,522.927,527.189,517.015,517.608,3747576
2025-02-18,505.18,510.182,491.397,495.084,8859160
2025-02-19,495.836,506.084,492.534,505.278,4430261
2025-02-20,498.132,502.702,494.595,496.756,4191557
2025-02-21,434.594,464.404,433.556,461.161,20091389
2025-02-24,461.414,462.723,451.847,456.317,6998236
2025-02-25,455.195,465.453,444.996,465.077,9204746
2025-02-26,461.586,467.717,453.034,458.363,5166630
2025-02-27,460.914,470.04,459.777,463.277,4264853
2025-02-28,461.735,470.99,459.243,469.605,6216411
2025-03-03,469.081,471.894,459.963,461.784,5765191
2025-03-04,462.97,473.808,461.201,469.259,5931002
2025-03-05,466.372,473.673,465.7,470.613,3678574
2025-03-06,470.875,482.617,466.678,482.222,5020590
2025-03-07,478.296,494.284,477.915,487.916,5496059
2025-03-10,488.532,494.341,474.343,476.835,5145197
2025-03-11,479.099,483.334,473.777,482.614,4130127
2025-03-12,478.91,484.158,475.445,477.719,3707146
2025-03-13,476.17,480.648,471.652,478.126,2897467
2025-03-14,477.386,486.0,474.869,485.206,3943709
2025-03-17,483.766,497.079,482.52,495.503,5188891
2025-03-18,498.7,502.403,494.311,500.249,3643309
2025-03-19,502.066,502.781,496.535,499.653,3341157
2025-03-20,501.44,510.764,499.961,507.696,5000638
2025-03-21,508.073,515.342,501.53,513.207,10317668
2025-03-24,511.866,514.592,507.517,512.859,3868347
2025-03-25,514.627,515.342,507.924,509.811,3036546
2025-03-26,511.37,519.264,509.235,514.547,3278132
2025-03-27,512.646,517.407,509.334,512.085,2842193
2025-03-28,513.227,517.308,511.42,512.403,2395988
2025-03-31,515.515,524.397,514.935,520.058,5275858
2025-04-01,520.316,524.447,517.278,519.433,2983739
2025-04-02,519.269,521.299,513.157,519.512,2395796
2025-04-03,526.254,544.634,525.559,536.631,6503768
2025-04-04,536.909,547.852,521.141,521.349,9989401
2025-04-07,509.781,525.47,500.04,521.002,7408925
2025-04-08,578.066,580.886,543.601,549.181,11845781
2025-04-09,554.921,585.249,550.552,574.422,12781955
2025-04-10,576.145,597.637,575.912,590.21,8707362
2025-04-11,587.008,602.086,582.396,595.244,6164913
2025-04-14,590.806,591.432,575.207,582.922,4873626
2025-04-15,587.44,588.681,577.908,579.476,3898760
2025-04-16,580.817,590.617,578.851,580.916,4221851
2025-04-17,478.553,486.338,443.948,450.909,29326886
2025-04-21,446.59,450.302,421.816,422.332,13122356
2025-04-22,421.647,428.457,414.18,424.169,10228966
2025-04-23,424.06,435.757,420.763,424.943,8404903
2025-04-24,424.556,426.87,420.664,421.26,7683282
2025-04-25,420.574,420.574,409.116,415.689,9329538
2025-04-28,416.543,421.13,412.621,417.04,6661247
2025-04-29,418.221,418.777,406.216,406.345,9979418
2025-04-30,406.142,410.348,398.173,408.54,9258083
2025-05-01,408.421,409.086,397.041,397.856,9382943
2025-05-02,397.995,399.166,390.339,397.101,11473782
2025-05-05,396.307,406.812,394.787,401.957,8215102
2025-05-06,399.961,401.867,390.647,391.729,7914378
2025-05-07,391.719,392.731,382.981,388.304,8581801
2025-05-08,387.253,388.164,382.654,382.832,7269561
2025-05-09,382.952,383.827,375.872,377.957,8440549
2025-05-12,378.314,384.481,374.179,376.08,11082919
2025-05-13,333.368,339.589,306.921,309.185,59900532
2025-05-14,319.184,320.664,304.945,305.839,40313713
2025-05-15,272.962,274.7,247.126,272.416,122714167
2025-05-16,277.321,292.414,267.238,289.852,71599032
2025-05-19,302.344,314.061,295.15,313.663,62968513
2025-05-20,318.658,322.352,310.377,319.313,41781488
2025-05-21,298.878,307.775,297.955,300.844,45829926
2025-05-22,291.928,303.515,290.438,294.579,27352449
2025-05-23,294.013,297.587,289.584,293.487,16993426
2025-05-27,297.389,297.836,287.092,292.921,20287559
2025-05-28,291.928,301.64,291.213,296.009,16228581
2025-05-29,294.708,301.241,292.921,296.068,16377940
2025-05-30,295.87,303.486,293.753,299.782,16425056
2025-06-02,301.867,311.34,298.849,302.572,19209773
2025-06-03,300.964,303.565,297.895,299.097,12896628
2025-06-04,301.4,305.472,298.084,298.263,11335517
2025-06-05,298.263,300.288,292.037,293.755,13724533
2025-06-06,295.219,302.244,295.055,301.083,12678343
2025-06-09,302.885,305.233,299.018,301.053,12256714
2025-06-10,301.52,302.969,298.471,301.649,11464866
2025-06-11,300.546,309.384,300.1,308.371,14815806
2025-06-12,309.21,316.553,306.335,316.255,16070442
2025-06-13,313.673,315.184,309.711,311.32,13860128
2025-06-16,313.0,313.27,304.79,307.66,14240076
2025-06-17,307.375,309.95,305.515,308.87,11593898
2025-06-18,307.55,311.79,306.23,307.2,12205634
2025-06-20,309.5,309.59,301.59,302.01,16177856
2025-06-23,301.9,302.47,295.52,300.68,12274663
2025-06-24,301.45,305.82,299.329,305.62,8781398
2025-06-25,304.38,304.38,299.8,302.02,8722083
2025-06-26,302.336,306.71,301.29,302.62,6532694
2025-06-27,302.88,310.45,302.2,309.11,15304422
2025-06-30,308.995,312.38,306.34,311.97,10074103
2025-07-01,311.97,326.55,311.08,326.14,17865491
